'07/26/2023 14:17:05.956',"301,088,340,000,000","-315,425,880,000,000","616,514,220,000,000",-0.0716877000000000
'07/26/2023 14:17:05.973',"297,902,220,000,000","-317,018,940,000,000","614,921,160,000,000",-0.0955836000000000
'07/26/2023 14:17:05.989',"301,088,340,000,000","-315,425,880,000,000","616,514,220,000,000",-0.0716877000000000
'07/26/2023 14:17:06.005',"302,681,400,000,000","-313,832,820,000,000","616,514,220,000,000",-0.0557571000000000
'07/26/2023 14:17:06.021',"301,088,340,000,000","-318,612,000,000,000","619,700,340,000,000",-0.0876183000000000
'07/26/2023 14:17:06.038',"297,902,220,000,000","-313,832,820,000,000","611,735,040,000,000",-0.0796530000000000
'07/26/2023 14:17:06.054',"294,716,100,000,000","-317,018,940,000,000","611,735,040,000,000",-0.111514200000000
'07/26/2023 14:17:06.070',"289,936,920,000,000","-318,612,000,000,000","608,548,920,000,000",-0.143375400000000
'07/26/2023 14:17:06.086',"296,309,160,000,000","-313,832,820,000,000","610,141,980,000,000",-0.0876183000000000
'07/26/2023 14:17:06.103',"294,716,100,000,000","-310,646,700,000,000","605,362,800,000,000",-0.0796530000000000
'07/26/2023 14:17:06.119',"299,495,280,000,000","-310,646,700,000,000","610,141,980,000,000",-0.0557571000000000
'07/26/2023 14:17:06.135',"294,716,100,000,000","-320,205,060,000,000","614,921,160,000,000",-0.127444800000000
'07/26/2023 14:17:06.151',"297,902,220,000,000","-318,612,000,000,000","616,514,220,000,000",-0.103548900000000
'07/26/2023 14:17:06.168',"289,936,920,000,000","-321,798,120,000,000","611,735,040,000,000",-0.159306000000000
'07/26/2023 14:17:06.184',"293,123,040,000,000","-320,205,060,000,000","613,328,100,000,000",-0.135410100000000
'07/26/2023 14:17:06.200',"291,529,980,000,000","-323,391,180,000,000","614,921,160,000,000",-0.159306000000000
'07/26/2023 14:17:06.216',"301,088,340,000,000","-317,018,940,000,000","618,107,280,000,000",-0.0796530000000000
'07/26/2023 14:17:06.233',"291,529,980,000,000","-323,391,180,000,000","614,921,160,000,000",-0.159306000000000
'07/26/2023 14:17:06.249',"301,088,340,000,000","-317,018,940,000,000","618,107,280,000,000",-0.0796530000000000
'07/26/2023 14:17:06.265',"294,716,100,000,000","-323,391,180,000,000","618,107,280,000,000",-0.143375400000000
'07/26/2023 14:17:06.281',"301,088,340,000,000","-318,612,000,000,000","619,700,340,000,000",-0.0876183000000000
'07/26/2023 14:17:06.298',"302,681,400,000,000","-320,205,060,000,000","622,886,460,000,000",-0.0876183000000000
'07/26/2023 14:17:06.314',"302,681,400,000,000","-317,018,940,000,000","619,700,340,000,000",-0.0716877000000000
'07/26/2023 14:17:06.330',"299,495,280,000,000","-321,798,120,000,000","621,293,400,000,000",-0.111514200000000
'07/26/2023 14:17:06.346',"293,123,040,000,000","-324,984,240,000,000","618,107,280,000,000",-0.159306000000000
'07/26/2023 14:17:06.363',"301,088,340,000,000","-318,612,000,000,000","619,700,340,000,000",-0.0876183000000000
'07/26/2023 14:17:06.379',"304,274,460,000,000","-310,646,700,000,000","614,921,160,000,000",-0.0318612000000000
'07/26/2023 14:17:06.395',"305,867,520,000,000","-301,088,340,000,000","606,955,860,000,000",0.0238959000000000
'07/26/2023 14:17:06.411',"305,867,520,000,000","-302,681,400,000,000","608,548,920,000,000",0.0159306000000000
'07/26/2023 14:17:06.428',"310,646,700,000,000","-307,460,580,000,000","618,107,280,000,000",0.0159306000000000
'07/26/2023 14:17:06.444',"318,612,000,000,000","-302,681,400,000,000","621,293,400,000,000",0.0796530000000000
'07/26/2023 14:17:06.460',"323,391,180,000,000","-299,495,280,000,000","622,886,460,000,000",0.119479500000000
'07/26/2023 14:17:06.476',"321,798,120,000,000","-297,902,220,000,000","619,700,340,000,000",0.119479500000000
'07/26/2023 14:17:06.493',"315,425,880,000,000","-301,088,340,000,000","616,514,220,000,000",0.0716877000000000
'07/26/2023 14:17:06.509',"315,425,880,000,000","-296,309,160,000,000","611,735,040,000,000",0.0955836000000000
'07/26/2023 14:17:06.525',"309,053,640,000,000","-305,867,520,000,000","614,921,160,000,000",0.0159306000000000
'07/26/2023 14:17:06.541',"317,018,940,000,000","-297,902,220,000,000","614,921,160,000,000",0.0955836000000000
'07/26/2023 14:17:06.558',"313,832,820,000,000","-302,681,400,000,000","616,514,220,000,000",0.0557571000000000
'07/26/2023 14:17:06.574',"315,425,880,000,000","-304,274,460,000,000","619,700,340,000,000",0.0557571000000000
